super_bowl,super_bowl_number,date,network,average_viewers,total_viewers,household_rating,household_share,cost_of_30_second_ad_usd
I,1,1/15/1967,NBC,24430000,35600000,18.5,36,37500
II,2,1/14/1968,CBS,39120000,51300000,36.8,68,54500
III,3,1/12/1969,NBC,41660000,54500000,36,70,55000
IV,4,1/11/1970,CBS,44270000,59200000,39.4,69,78200
V,5,1/17/1971,NBC,46040000,58500000,39.9,75,72500
VI,6,1/16/1972,CBS,56640000,67300000,44.2,74,86100
VII,7,1/14/1973,NBC,53320000,67700000,42.7,72,88100
VIII,8,1/13/1974,CBS,51700000,63200000,41.6,73,103500
IX,9,1/12/1975,NBC,56050000,71300000,42.4,72,107000
X,10,1/18/1976,CBS,57710000,73300000,42.3,78,110000
XI,11,1/9/1977,NBC,62050000,81900000,44.4,73,125000
XII,12,1/15/1978,CBS,78940000,102010000,47.2,67,162300
XIII,13,1/21/1979,NBC,74740000,96630000,47.1,74,185000
XIV,14,1/20/1980,CBS,76240000,97800000,46.3,67,222000
XV,15,1/25/1981,NBC,68290000,94120000,44.4,63,275000
XVI,16,1/24/1982,CBS,85240000,110230000,49.1,73,324300
XVII,17,1/30/1983,NBC,81770000,109040000,48.6,69,400000
XVIII,18,1/22/1984,CBS,77620000,105200000,46.4,71,368200
XIX,19,1/20/1985,ABC,85530000,115940000,46.4,63,525000
XX,20,1/26/1986,NBC,92570000,127060000,48.3,70,550000
XXI,21,1/25/1987,CBS,87190000,119700000,45.8,66,600000
XXII,22,1/31/1988,ABC,80140000,114600000,41.9,62,645000
XXIII,23,1/22/1989,NBC,81590000,110780000,43.5,68,675000
XXIV,24,1/28/1990,CBS,73850000,109900000,39,63,700400
XXV,25,1/27/1991,ABC,79510000,112130000,41.9,63,800000
XXVI,26,1/26/1992,CBS,79590000,119680000,40.3,61,850000
XXVII,27,1/31/1993,NBC,90990000,133400000,45.1,66,850000
XXVIII,28,1/30/1994,NBC,90000000,134840000,45.5,66,900000
XXIX,29,1/29/1995,ABC,83420000,125220000,41.3,62,1150000
XXX,30,1/28/1996,NBC,94080000,138490000,46,68,1085000
XXXI,31,1/26/1997,Fox,87870000,128900000,43.3,65,1200000
XXXII,32,1/25/1998,NBC,90000000,133400000,44.5,67,1291100
XXXIII,33,1/31/1999,Fox,83720000,127500000,40.2,61,1600000
XXXIV,34,1/30/2000,ABC,88470000,130740000,43.3,63,2100000
XXXV,35,1/28/2001,CBS,84340000,131200000,40.4,61,2200000
XXXVI,36,2/3/2002,Fox,86800000,131700000,40.4,61,2200000
XXXVII,37,1/26/2003,ABC,88640000,138900000,40.7,61,2200000
XXXVIII,38,2/1/2004,CBS,89800000,144400000,41.4,63,2302200
XXXIX,39,2/6/2005,Fox,86070000,133700000,41.1,62,2400000
XL,40,2/5/2006,ABC,90750000,141400000,41.6,62,2500000
XLI,41,2/4/2007,CBS,93180000,139780000,42.6,64,2385365
XLII,42,2/3/2008,Fox,97450000,148300000,43.1,65,2699963
XLIII,43,2/1/2009,NBC,98730000,151600000,42,64,3000000
XLIV,44,2/7/2010,CBS,106480000,153400000,45,68,2800000
XLV,45,2/6/2011,Fox,111040000,162900000,46,69,2948649
XLVI,46,2/5/2012,NBC,111350000,159200000,47,71,3442752
XLVII,47,2/3/2013,CBS,108690000,164100000,46.4,69,3765130
XLVIII,48,2/2/2014,Fox,112190000,,46.7,69,4084864
XLIX,49,2/1/2015,NBC,114440000,161300000,47.5,71,4283129
L,50,2/7/2016,CBS,111860000,167000000,46.6,72,4800000
LI,51,2/5/2017,Fox,111320000,172000000,45.3,70,5399873
LII,52,2/4/2018,NBC,103470000,,43.1,68,5235379
LIII,53,2/3/2019,CBS,98480000,149000000,41.1,67,5199916
LIV,54,2/2/2020,Fox,101320000,148500000,41.6,69,5400000
LV,55,2/7/2021,CBS,98200000,,38.2,68,5500000
LVI,56,2/13/2022,NBC,112000000,,37,72,6500000
